ln_hf,rsa_mssd,vlf,vlf_mssd,ln_vlf,lf,lf_var,lf_mssd,lf_autocorr,ln_lf,ln_lf_mssd,ln_lf_autocorr,p_pow,p_pow_var,p_pow_autocorr,p_hz_autocorr,sdnn,sdnn_autocorr,t_pow,t_pow_autocorr,d_pow,d_pow_var,d_pow_autocorr,hf_norm,hf_p_norm,p_pow_norm,coh_ratio_norm,t_pow_norm,valence
-0.9807010549672796,-0.3095620080203666,-0.28529081488343155,-0.1800600342183904,0.0430380364919639,-0.7964880638549842,-0.35562689530033986,-0.3682318301165342,-1.5890962584162587,-0.9415909752316206,-0.40788439685635053,-1.6066488841729727,-0.7624687547174257,-0.3258844946635461,-0.003477755292539307,-1.7553239628440211,-0.5605474197688909,-1.910181059267856,-0.6304096765200728,0.23626571241993613,-0.3092096439291413,-0.2053830318517308,0.07782344657130848,-0.018293821266185447,-0.7397116718075127,-0.18354292558824242,-1.2445308594904005,1.1611318109243494,-1
-0.8453813783648114,-0.4375361449085843,-0.1327929207025345,-0.14408013856394025,0.2802745503603924,-0.7618914426028938,-0.3335175954219447,-0.31719278036113313,-0.10587434256436067,-0.8562813407513182,-0.015486417605896561,-0.09383037427673459,-0.6972656107189642,-0.2625318412121038,-0.5673591537012089,-0.056474183181844266,-0.5340251632417127,0.4453603584180791,-0.5577621940314503,0.5978593052706522,-0.17380457518202946,-0.11957373026384474,0.7080270146383595,0.2897460972520208,-0.5215000416083064,0.29912471172017585,-0.8960352298270168,1.2333794748313023,-1
-0.40844056040188914,-0.4322768996579126,-0.08677736125764042,-0.16479723217761086,0.36817859377117906,-0.5883442876818866,-0.259017770817947,-0.3303310072658963,0.7568461322966619,-0.4836837972327926,-0.25863184998319205,0.7360078459977409,-0.39173511982762466,-0.28207313541988255,1.0254310440526502,-1.154398872096473,-0.5014944019090533,0.31302201334721036,-0.43645111581326757,0.4169879623783881,-0.3579418695578693,-0.20677322900789863,-0.0337295523002807,0.07725814301524857,-0.5086074174868778,0.9323200380268268,0.010921231469133664,0.7365984775195648,1
-0.2670581992288938,-0.29633784436652405,-0.04293333778765942,-0.19301932490868337,0.4281470209146673,-0.41515229931065417,-0.30679096179107285,-0.35997040154274246,0.744113320072603,-0.173649457096951,-0.543443133847997,0.7325716845017093,-0.25047699302861365,-0.3204892272589749,0.7877828531011208,0.5401840370809283,-0.470072526570036,-1.7459808829192023,-0.3418478610976689,0.5341922305002293,-0.19890941265928722,-0.16729513433014817,0.7186773615733684,0.16850053340519516,-0.5481880420948263,1.5015855244613516,0.21378222510122646,1.0370195767108996,1
-0.316900523144027,-0.486206162309505,0.033682718647677495,-0.18617926781963665,0.5253178337515875,-0.5400023514093609,-0.3516691752560755,-0.38479823924498474,0.6339189974631765,-0.378273095738281,-0.6207418735045974,0.6321513007441674,-0.2825790690374779,-0.3296095883231935,-0.1271093474927986,-0.939887139426966,-0.49722938722771204,-0.5726285956956412,-0.36745679577892953,-0.27690658154083997,-0.16443216769590166,-0.20959086271639868,-0.048880407959205625,0.06867054745784731,-0.6645631749391325,1.3837027002689908,0.011851601189679926,1.1479865705065913,1
-0.254728597628059,-0.2948126519181888,-0.33160253706636467,-0.16212207448137386,-0.06584004123862419,-0.6206737606851616,-0.3150761646872224,-0.31374433267841556,0.2837542060294706,-0.5382758496317386,-0.16596818789587583,0.22060896859678367,-0.24829744935428794,-0.32600688782083215,-1.8364536335859891,-1.3946743877311067,-0.5442375058901562,-1.7386600363412374,-0.5112212628387037,0.5292788909294113,-0.46158548901215174,-0.19935852435014575,0.4073631106976434,0.23061069042424714,-0.5197962120015867,1.726700255087587,0.2803619090008484,1.1211217350566747,1
-0.27808155346482544,-0.3977472094313469,-0.027209197694900045,-0.040092309192533704,0.42938970208891813,-0.481363843365871,-0.33131247703309896,-0.31161821365150344,-0.14278171014078594,-0.2785172834312452,-0.32416523296666727,-0.18225134098041615,-0.34228379605076065,-0.31484251415008124,0.3160646302303924,-2.1303939355138644,-0.4403129194322259,-0.4122163295096957,-0.3613462160427307,0.12379933659146693,-0.2135257857678783,-0.14751439965709234,0.5032820561579351,0.7735099840852091,-0.6133027571429999,1.6212876420656013,-0.7046019138479007,2.6914884316456837,1
-0.48406735669063083,-0.41292163879414157,-0.07470716535886718,-0.1486973841391758,0.38171229591122446,-0.5761681342648902,-0.34466666169647114,-0.3561073051010667,0.04883736984505415,-0.44617209435450633,-0.4814849085127439,0.07222133332816372,-0.4338990666403041,-0.32458552487252723,0.2056835854024516,-1.2016635873608157,-0.4761571282156778,0.9651263847879039,-0.4367810839530436,0.7322574857781687,-0.27379714442816294,-0.19959895431792798,0.41045185688488706,0.7770909855403817,-0.40927035204444784,1.5904225315634188,-0.3297179241692187,1.839770734400817,1
-1.1402008327602182,-0.257481538281254,-0.5434527853924058,-0.18916953587706478,-0.6487637712015552,-0.9084227858374647,-0.3522218808514592,-0.3577577184669903,-0.9142019958069261,-1.2862747102512184,-0.1455392097469969,-0.8355234787896552,-0.7783712014039933,-0.2851173402794772,-1.1994573157922295,-0.9888521672539372,-0.9123034562975857,-1.483814240935741,-0.7687110770655152,-1.364428463255823,-0.578548086826989,-0.21272284673903197,-0.15402389014132026,-0.39783821988888995,-0.4500189783562334,-0.4400164767811228,-0.3414682951761801,-0.34246775297769355,-1
-1.2330331440756646,-0.4188344244693798,-0.5365217381990494,-0.19509246397595498,-0.6212988398157536,-0.8446587089814598,-0.3504659655031186,-0.31323973016082096,-2.3889643690153877,-1.0806678190832422,0.27701290674235596,-2.4723513579457346,-0.7510675623181022,-0.29172371086203325,0.7268725277884593,1.0228923078606669,-0.9061495100123053,-1.1429364235375687,-0.7495757059690004,-1.8037170046663495,-0.6163629981301831,-0.21342072470816484,0.14763609274807563,-0.4605332353387363,-0.6128350065004534,-0.3187792256761902,-0.20251334882690122,-0.2832833402123958,-1
